zspec u-g g-r r-i i-z u-slope g-slope uerr gerr rerr ierr zerr u-slopeerr g-slopeerr
2.9315 0.8547 0.2632 -0.0430 0.1657 -0.0731 -0.0059 0.3300 0.0504 0.0521 0.0084 0.2133 0.0350 0.0250 
3.6161 2.1948 1.0053 0.1875 0.0391 -0.0322 -0.0260 0.5529 0.1199 0.0161 0.0024 0.2152 0.0350 0.0250 
3.9489 2.6469 1.2129 0.1093 0.1176 0.0367 -0.0380 0.4952 0.0706 0.0718 0.0198 0.2691 0.0350 0.0250 
1.6605 0.1334 0.2069 0.3448 0.2401 0.0632 0.0416 0.1402 0.0320 0.0190 0.0186 0.0834 0.0350 0.0250 
2.1730 0.3069 0.1699 0.1240 0.3197 -0.0295 -0.0102 0.0706 0.0323 0.0323 0.0491 0.0511 0.0350 0.0250 
1.4732 0.3338 0.2814 0.1715 0.0957 -0.0327 0.0385 0.0969 0.0331 0.0180 0.0367 0.1766 0.0350 0.0250 
3.2462 1.9745 0.4097 -0.0010 0.2013 -0.0655 -0.0490 0.3887 0.0672 0.0434 0.0916 0.2662 0.0350 0.0250 
2.7557 0.5478 0.1314 0.0020 0.1268 -0.0091 0.0194 0.0404 0.0241 0.0333 0.0550 0.1107 0.0350 0.0250 
0.6651 0.3786 0.1423 0.0680 0.2563 -0.0210 0.0018 0.0312 0.0385 0.0490 0.0175 0.1363 0.0350 0.0250 
0.6975 0.4656 0.0506 0.1025 0.2326 -0.0027 0.0137 0.1957 0.0205 0.0212 0.0028 0.1173 0.0350 0.0250 
3.7551 2.4986 1.1874 0.0983 0.1849 -0.0199 -0.0250 0.4199 0.1307 0.0407 0.0461 0.1177 0.0350 0.0250 
0.9976 0.3135 0.2085 0.0084 0.1417 -0.0233 0.0108 0.0687 0.0295 0.0336 0.0188 0.0676 0.0350 0.0250 
1.0440 0.1142 0.3162 -0.0371 0.0958 0.0161 0.0154 0.0838 0.0210 0.0094 0.0293 0.1062 0.0350 0.0250 
0.8129 0.1541 0.0953 0.0482 0.4555 0.0434 -0.0179 0.0238 0.0360 0.0507 0.0336 0.0783 0.0350 0.0250 
3.3245 1.8128 0.3071 -0.0247 0.1121 -0.0189 -0.0736 0.1078 0.0568 0.0490 0.1222 0.0938 0.0350 0.0250 
1.3807 0.1110 0.1966 0.0917 0.0204 -0.0164 0.0466 0.0459 0.0601 0.0225 0.0259 0.0332 0.0350 0.0250 
1.2272 0.1589 0.3847 -0.0023 0.1182 0.0616 0.0394 0.0166 0.0304 0.0085 0.0771 0.1511 0.0350 0.0250 
2.6352 0.7183 0.1762 0.0147 0.3350 -0.0388 0.0457 0.1704 0.0540 0.0304 0.0873 0.3573 0.0350 0.0250 
0.7476 0.2731 0.0867 0.1478 0.2735 0.0369 -0.0083 0.0615 0.0611 0.0376 0.0631 0.0754 0.0350 0.0250 
0.9051 0.2265 0.2574 -0.0419 0.2783 0.0237 -0.0005 0.0854 0.0210 0.0242 0.0076 0.0347 0.0350 0.0250 
2.7149 0.8239 0.1885 0.0717 0.3607 -0.0337 0.0136 0.2012 0.0273 0.0513 0.0350 0.1333 0.0350 0.0250 
2.3298 0.5419 -0.0753 -0.0311 0.3830 0.0225 -0.0026 0.2421 0.0491 0.0399 0.0137 0.1315 0.0350 0.0250 
1.6255 0.1752 0.2085 0.3090 0.1821 0.0650 0.0388 0.1581 0.0382 0.0236 0.0431 0.0577 0.0350 0.0250 
3.2007 1.9714 0.2919 -0.0622 0.1405 -0.0610 -0.0498 0.2034 0.0595 0.0648 0.0321 0.1894 0.0350 0.0250 
1.3201 0.1168 0.3442 0.0238 0.0581 0.0070 0.0541 0.0569 0.0559 0.0174 0.0254 0.1756 0.0350 0.0250 
1.4716 0.2934 0.2556 0.1656 0.1571 -0.0141 0.0210 0.1737 0.0239 0.0076 0.0340 0.1459 0.0350 0.0250 
1.7824 0.0738 -0.0659 0.2555 0.2094 0.0621 0.0329 0.0823 0.0151 0.0465 0.0402 0.1925 0.0350 0.0250 
3.0575 1.0896 0.3056 0.0398 0.0158 -0.1084 -0.0104 0.4843 0.0442 0.0275 0.0150 0.1394 0.0350 0.0250 
0.8188 0.2169 0.0803 -0.0325 0.5649 0.0443 -0.0104 0.0422 0.0196 0.0424 0.0176 0.0639 0.0350 0.0250 
0.9403 0.2496 0.1803 -0.1011 0.2088 0.0079 -0.0080 0.0164 0.0151 0.0087 0.0625 0.0461 0.0350 0.0250 
3.8746 1.7487 1.0866 0.1779 0.1650 -0.0062 -0.0059 0.3126 0.1093 0.0651 0.0967 0.1264 0.0350 0.0250 
2.1401 0.2391 0.0876 0.0818 0.3526 -0.0814 -0.0183 0.1441 0.0530 0.0542 0.0135 0.1044 0.0350 0.0250 
1.8955 -0.0485 -0.0050 0.3029 0.1694 -0.0023 0.0237 0.0336 0.0271 0.0377 0.0233 0.1240 0.0350 0.0250 
1.9962 0.0712 -0.0018 0.1005 0.3002 -0.0539 0.0203 0.0659 0.0482 0.0403 0.0005 0.0890 0.0350 0.0250 
3.2359 1.8155 0.3631 0.1411 0.1399 -0.0387 -0.0569 0.4894 0.0401 0.0625 0.0204 0.0888 0.0350 0.0250 
1.3367 -0.1710 0.2718 -0.0229 0.2219 -0.0200 0.0664 0.1177 0.0215 0.0341 0.0360 0.0867 0.0350 0.0250 
0.9360 0.2840 0.4785 0.1881 0.3375 0.0289 0.0112 0.1329 0.0053 0.0019 0.0522 0.0320 0.0350 0.0250 
1.2754 -0.1797 0.3054 -0.0132 0.3373 0.0109 0.0370 0.1170 0.0402 0.0354 0.0376 0.0844 0.0350 0.0250 
3.9709 2.8128 1.4434 0.0967 0.2202 -0.0012 -0.0788 0.6141 0.1081 0.0771 0.0668 0.1257 0.0350 0.0250 
2.8116 0.8932 0.2124 -0.0247 0.3196 -0.0445 -0.0074 0.2194 0.0579 0.0716 0.0388 0.1214 0.0350 0.0250 
2.2059 0.3335 0.0325 0.1378 0.3935 -0.0416 -0.0181 0.1310 0.0292 0.0476 0.0431 0.1290 0.0350 0.0250 
3.0280 1.3395 0.3060 0.0675 0.0781 -0.0664 0.0200 0.3068 0.0526 0.0365 0.0521 0.0011 0.0350 0.0250 
0.5351 0.2193 -0.0133 0.2358 0.1445 -0.0046 0.0681 0.0802 0.0316 0.0500 0.0232 0.0114 0.0350 0.0250 
1.3942 0.1384 0.3223 0.0611 0.1557 -0.0151 0.0555 0.1251 0.0280 0.0347 0.0478 0.0907 0.0350 0.0250 
3.4766 2.2318 0.7270 0.2513 0.0989 -0.0190 0.0175 0.4622 0.0137 0.0451 0.0170 0.1463 0.0350 0.0250 
1.5344 0.3088 0.1278 0.2462 0.0432 0.0182 0.0405 0.1999 0.0125 0.0196 0.0632 0.1382 0.0350 0.0250 
1.9767 0.0839 0.1346 0.2285 0.4107 -0.0349 0.0170 0.0892 0.0456 0.0472 0.0421 0.0182 0.0350 0.0250 
3.9425 2.6885 1.1327 0.0926 0.2196 -0.0030 -0.0123 0.4328 0.1179 0.0428 0.0449 0.2315 0.0350 0.0250 
2.1267 0.2606 0.1093 0.1206 0.3026 -0.0562 -0.0038 0.1584 0.0590 0.0406 0.0714 0.1577 0.0350 0.0250 
1.2030 0.0891 0.3964 -0.0209 0.1649 0.0317 0.0336 0.0504 0.0540 0.0176 0.0396 0.1687 0.0350 0.0250 
2.6055 0.6378 0.1214 -0.0270 0.4099 -0.0275 0.0390 0.2570 0.0334 0.0603 0.0866 0.1074 0.0350 0.0250 
0.8400 0.4114 0.2001 0.0238 0.3235 0.0117 -0.0025 0.0776 0.0294 0.0122 0.0660 0.0364 0.0350 0.0250 
1.3846 0.0953 0.3089 0.1163 0.0385 -0.0264 0.0318 0.0633 0.0420 0.0205 0.0556 0.0370 0.0350 0.0250 
3.0686 1.2365 0.3103 -0.0756 0.1454 -0.0643 -0.0235 0.4257 0.0303 0.0273 0.0498 0.2603 0.0350 0.0250 
0.6184 0.3415 0.0920 0.2337 0.1649 -0.0180 0.0146 0.0532 0.0261 0.0490 0.0438 0.1459 0.0350 0.0250 
3.1034 1.2208 0.3441 0.0387 0.0821 -0.0464 -0.0555 0.4367 0.0420 0.0155 0.0353 0.2827 0.0350 0.0250 
1.3001 0.1431 0.3619 0.0528 0.2068 0.0112 0.0489 0.0967 0.0494 0.0190 0.0385 0.1473 0.0350 0.0250 
0.6579 0.3637 0.2155 0.1723 0.1720 0.0032 -0.0031 0.0267 0.0356 0.0210 0.0127 0.0372 0.0350 0.0250 
3.9303 2.4035 1.0870 0.0778 0.0905 0.0532 -0.0161 0.4747 0.1688 0.0654 0.1003 0.1775 0.0350 0.0250 
3.5747 1.4696 1.0501 0.1828 0.0810 -0.0152 0.0269 0.3016 0.1414 0.0770 0.0551 0.0353 0.0350 0.0250 
2.1369 0.3033 0.0969 0.1152 0.2786 -0.0655 -0.0707 0.1041 0.0129 0.0392 0.0514 0.0533 0.0350 0.0250 
1.4945 0.3818 0.2650 0.2114 0.1022 -0.0051 0.0480 0.0944 0.0300 0.0119 0.0308 0.1034 0.0350 0.0250 
1.9548 0.1769 0.1502 0.2531 0.3344 -0.0361 0.0074 0.0834 0.0083 0.0432 0.0558 0.1015 0.0350 0.0250 
0.6715 0.3091 0.0805 0.1047 0.2592 -0.0171 0.0022 0.0158 0.0150 0.0241 0.0347 0.1493 0.0350 0.0250 
3.0510 1.7273 0.3130 0.1655 -0.0334 -0.0996 -0.0010 0.3350 0.0528 0.0375 0.0081 0.1605 0.0350 0.0250 
3.9687 2.4859 1.3382 0.1295 0.1571 -0.0378 -0.0375 0.2294 0.1672 0.0210 0.0332 0.2068 0.0350 0.0250 
3.8212 2.0041 1.2810 0.1113 0.0694 -0.0299 -0.0183 0.4712 0.1444 0.0354 0.0295 0.2849 0.0350 0.0250 
1.8213 -0.0426 0.0440 0.1952 0.2589 0.0350 0.0217 0.1028 0.0317 0.0176 0.0455 0.0583 0.0350 0.0250 
3.0456 1.6084 0.3275 0.0873 0.2059 -0.1097 -0.0060 0.4128 0.0102 0.0639 0.0311 0.0903 0.0350 0.0250 
3.3874 1.1530 0.4940 0.1188 0.0572 -0.0295 -0.0576 0.4386 0.1027 0.0772 0.0625 0.0402 0.0350 0.0250 
2.9598 0.8394 0.1810 0.0059 0.3883 -0.0425 -0.0072 0.1845 0.0802 0.0573 0.0819 0.1526 0.0350 0.0250 
0.4094 0.4552 0.1460 0.2409 0.1916 -0.0027 0.0313 0.0079 0.0325 0.0165 0.0166 0.0390 0.0350 0.0250 
1.5581 0.2072 0.2422 0.2920 0.1575 0.0012 0.0355 0.1734 0.0239 0.0522 0.0470 0.0880 0.0350 0.0250 
2.1321 0.3268 0.2192 0.1729 0.3137 -0.0798 -0.0502 0.1120 0.0548 0.0673 0.0879 0.1439 0.0350 0.0250 
0.6399 0.2833 0.0215 0.1847 0.2176 0.0072 0.0270 0.0011 0.0225 0.0017 0.0030 0.0669 0.0350 0.0250 
2.5144 0.5487 0.1275 0.0455 0.2847 -0.0210 0.0511 0.0482 0.0405 0.0422 0.0563 0.2207 0.0350 0.0250 
2.4372 0.4267 0.1488 -0.0367 0.3507 0.0248 0.0477 0.2341 0.0575 0.0869 0.0803 0.0394 0.0350 0.0250 
3.0538 1.5004 0.2077 0.0337 0.1348 -0.0501 -0.0127 0.0843 0.0215 0.0488 0.0233 0.0905 0.0350 0.0250 
2.1037 0.1186 0.1209 0.1006 0.2251 -0.0705 -0.0479 0.1039 0.0392 0.0376 0.0481 0.0276 0.0350 0.0250 
1.2682 0.1325 0.3620 0.0260 0.1813 0.0075 0.0342 0.0776 0.0349 0.0334 0.0219 0.0884 0.0350 0.0250 
3.3580 2.0693 0.4684 0.1360 0.1845 -0.0225 -0.0435 0.4584 0.1055 0.0721 0.0672 0.2530 0.0350 0.0250 
3.1116 1.2611 0.3323 0.0752 0.0363 -0.0422 -0.0300 0.1709 0.0209 0.0430 0.0578 0.0405 0.0350 0.0250 
1.1819 0.1359 0.3122 0.0610 0.1980 0.0512 0.0365 0.1472 0.0512 0.0426 0.0133 0.0274 0.0350 0.0250 
0.6649 0.4299 0.2033 0.1999 0.2040 0.0023 0.0121 0.1046 0.0420 0.0546 0.0122 0.1288 0.0350 0.0250 
1.3456 0.0935 0.3584 0.0230 0.1188 -0.0133 0.0610 0.0106 0.0001 0.0438 0.0367 0.1559 0.0350 0.0250 
2.5189 0.4420 -0.0015 -0.0925 0.5357 -0.0002 0.0695 0.0862 0.0464 0.0173 0.0440 0.1277 0.0350 0.0250 
1.5217 0.2266 0.2761 0.2994 0.2359 -0.0108 0.0469 0.1313 0.0274 0.0226 0.0217 0.1572 0.0350 0.0250 
1.8045 0.1350 0.1402 0.2807 0.2657 0.0494 0.0228 0.0648 0.0659 0.0665 0.0397 0.1689 0.0350 0.0250 
0.7087 0.4684 0.2327 0.1241 0.2135 0.0173 0.0144 0.0847 0.0333 0.0664 0.0450 0.1431 0.0350 0.0250 
3.0346 1.3120 0.3845 -0.0017 -0.0512 -0.0625 0.0082 0.1953 0.0796 0.0382 0.0127 0.2780 0.0350 0.0250 
2.6749 0.7944 0.2400 0.0716 0.2101 -0.0706 0.0155 0.1442 0.0364 0.0556 0.0527 0.1226 0.0350 0.0250 
2.3280 0.5057 0.0684 0.0628 0.4002 0.0101 0.0124 0.1005 0.0174 0.0419 0.0663 0.0882 0.0350 0.0250 
1.9908 0.1543 0.0369 0.1775 0.2733 -0.0453 0.0202 0.0797 0.0543 0.0321 0.0692 0.0345 0.0350 0.0250 
1.1137 0.1618 0.3900 -0.0471 0.2030 0.0482 0.0194 0.0697 0.0493 0.0359 0.0387 0.1053 0.0350 0.0250 
1.9840 0.0967 -0.0029 0.1764 0.2939 -0.0354 0.0073 0.1005 0.0150 0.0251 0.0161 0.1311 0.0350 0.0250 
1.9783 0.2296 0.0555 0.1832 0.2254 -0.0396 0.0099 0.0460 0.0373 0.0425 0.0581 0.2109 0.0350 0.0250 
3.6771 2.4571 1.0197 0.0451 0.1865 -0.0201 -0.0196 0.4296 0.1530 0.0274 0.0482 0.1247 0.0350 0.0250 
2.0485 0.2424 0.1692 0.1053 0.2795 -0.0426 0.0160 0.0410 0.0263 0.0319 0.0502 0.1105 0.0350 0.0250 
1.1939 0.0736 0.3756 -0.0439 0.1910 0.0200 0.0207 0.0618 0.0213 0.0327 0.0195 0.0142 0.0350 0.0250 
3.7018 3.1943 1.1016 0.0778 0.1309 -0.0109 -0.0186 0.6054 0.1251 0.0042 0.0707 0.1061 0.0350 0.0250 
1.0594 0.3131 0.2800 0.0437 0.2150 0.0250 0.0136 0.0441 0.0304 0.0124 0.0221 0.0291 0.0350 0.0250 
1.2335 -0.0193 0.3213 0.1270 0.0944 0.0283 0.0697 0.0585 0.0431 0.0609 0.0171 0.1108 0.0350 0.0250 
1.8441 -0.0624 -0.0117 0.2431 0.1942 0.0144 0.0233 0.0828 0.0552 0.0570 0.0435 0.0621 0.0350 0.0250 
1.2832 0.1590 0.3773 0.0562 0.2377 0.0206 0.0380 0.1420 0.0363 0.0474 0.0019 0.1185 0.0350 0.0250 
2.2278 0.3026 0.0948 0.1143 0.2768 -0.0175 -0.0014 0.0426 0.0230 0.0347 0.0610 0.2655 0.0350 0.0250 
1.7184 0.1949 0.0906 0.3294 0.1193 0.0797 0.0181 0.1900 0.0521 0.0394 0.0013 0.0274 0.0350 0.0250 
1.3915 0.0191 0.3017 0.1027 0.1499 -0.0312 0.0463 0.0677 0.0453 0.0111 0.0614 0.0751 0.0350 0.0250 
0.6851 0.2488 -0.0104 0.0549 0.3225 0.0007 0.0143 0.0486 0.0471 0.0542 0.0200 0.1643 0.0350 0.0250 
1.1586 0.0801 0.3045 -0.0196 0.2215 0.0139 0.0289 0.0318 0.0484 0.0368 0.0226 0.0545 0.0350 0.0250 
3.2381 1.5117 0.3491 0.0493 0.1123 -0.0526 -0.0349 0.3488 0.0735 0.0772 0.0399 0.1816 0.0350 0.0250 
3.9855 2.3120 1.4455 0.0937 0.1190 -0.0182 -0.0763 0.4041 0.0465 0.0473 0.0308 0.1086 0.0350 0.0250 
1.8608 0.0047 -0.0630 0.2370 0.2489 0.0304 0.0264 0.0748 0.0084 0.0650 0.0395 0.0558 0.0350 0.0250 
3.9914 1.8989 1.3483 0.0445 0.0487 -0.0172 -0.0388 0.5702 0.0281 0.0365 0.0517 0.0662 0.0350 0.0250 
2.5243 0.7622 0.1778 0.0068 0.3269 -0.0241 0.0611 0.0460 0.0260 0.0652 0.0811 0.1711 0.0350 0.0250 
3.1692 1.7477 0.2952 0.0207 0.0514 -0.0414 -0.0453 0.1804 0.0953 0.0776 0.0250 0.2813 0.0350 0.0250 
3.9195 1.5801 1.1456 0.0736 0.0589 0.0051 -0.0202 0.2500 0.0811 0.0324 0.0498 0.0166 0.0350 0.0250 
0.6352 0.3680 0.1207 0.1823 0.2731 -0.0308 0.0027 0.0324 0.0322 0.0525 0.0344 0.0440 0.0350 0.0250 
1.8186 0.1331 0.0531 0.2390 0.2507 0.0402 0.0187 0.0738 0.0654 0.0393 0.0535 0.1185 0.0350 0.0250 
0.8686 0.3613 0.1757 0.0114 0.4261 0.0002 -0.0191 0.0962 0.0286 0.0519 0.0654 0.0066 0.0350 0.0250 
2.7395 0.7369 0.2102 -0.0337 0.3182 -0.0783 0.0118 0.1897 0.0719 0.0224 0.0535 0.0189 0.0350 0.0250 
1.5859 0.0806 0.0074 0.2421 0.1437 0.0485 0.0566 0.0223 0.0245 0.0269 0.0114 0.1407 0.0350 0.0250 
2.2216 0.4033 0.0477 0.0885 0.3152 -0.0390 0.0329 0.2622 0.0338 0.0450 0.0472 0.0450 0.0350 0.0250 
1.9608 0.1422 0.0529 0.2045 0.2530 -0.0348 0.0106 0.1036 0.0203 0.0123 0.0039 0.0702 0.0350 0.0250 
2.3966 0.4267 0.0946 -0.0251 0.3214 0.0044 0.0233 0.1167 0.0009 0.0405 0.0477 0.0327 0.0350 0.0250 
3.8003 1.9689 1.2316 0.1352 0.0664 -0.0261 -0.0319 0.4298 0.1411 0.0044 0.0459 0.2314 0.0350 0.0250 
3.5576 2.1009 0.8787 0.2291 -0.0385 -0.0228 -0.0406 0.6876 0.0974 0.0697 0.0761 0.1451 0.0350 0.0250 
1.2408 0.2227 0.4044 0.0189 0.1979 0.0236 0.0385 0.0271 0.0383 0.0345 0.0199 0.1473 0.0350 0.0250 
0.7356 0.2957 0.0779 0.0605 0.3441 0.0158 -0.0020 0.0357 0.0463 0.0157 0.0320 0.0929 0.0350 0.0250 
3.9050 2.1672 1.1649 0.1550 0.0713 0.0396 -0.0215 0.6349 0.0738 0.0746 0.0657 0.2086 0.0350 0.0250 
1.2368 0.0832 0.3776 0.0567 0.2076 0.0166 0.0474 0.0452 0.0094 0.0223 0.0279 0.0669 0.0350 0.0250 
2.1121 0.0331 0.0829 0.0412 0.5605 -0.0548 -0.0322 0.2539 0.0118 0.0347 0.1029 0.1787 0.0350 0.0250 
0.6385 0.4467 0.1881 0.1848 0.0907 0.0082 0.0192 0.0590 0.0330 0.0255 0.0205 0.1696 0.0350 0.0250 
2.1494 0.2729 0.1624 0.1169 0.2746 -0.0695 0.0094 0.0957 0.0459 0.0530 0.0525 0.1657 0.0350 0.0250 
2.5494 0.6181 0.0837 -0.1034 0.4126 -0.0227 0.0712 0.3255 0.0468 0.0586 0.0712 0.1106 0.0350 0.0250 
3.4019 2.2349 0.4657 0.1138 0.1091 -0.0069 -0.0492 0.5381 0.0286 0.0630 0.0308 0.1506 0.0350 0.0250 
3.3463 1.8763 0.4848 0.0352 0.2058 -0.0227 -0.0426 0.4734 0.0355 0.0418 0.0709 0.2832 0.0350 0.0250 
1.0365 0.1838 0.3087 -0.0317 0.1694 0.0169 0.0157 0.0574 0.0237 0.0435 0.0188 0.0207 0.0350 0.0250 
1.3505 -0.0590 0.3266 0.0410 0.0354 -0.0061 0.0574 0.0435 0.0529 0.0298 0.0194 0.0855 0.0350 0.0250 
0.6709 0.2579 0.1457 0.1263 0.2616 -0.0115 0.0125 0.1248 0.0060 0.0423 0.0501 0.0679 0.0350 0.0250 
3.1640 1.3680 0.3383 0.1089 0.0053 -0.0686 -0.0395 0.3644 0.0399 0.0860 0.0824 0.3117 0.0350 0.0250 
1.3245 0.0956 0.3039 0.0440 0.2409 0.0289 0.0527 0.1341 0.0047 0.0371 0.0533 0.0954 0.0350 0.0250 
3.2403 1.4245 0.2956 -0.0868 0.1350 -0.0496 -0.0401 0.2986 0.0111 0.0545 0.1141 0.1957 0.0350 0.0250 
3.3183 2.1511 0.4278 0.1081 0.0189 -0.0427 -0.0616 0.4642 0.0399 0.0515 0.0786 0.2584 0.0350 0.0250 
1.2875 -0.0330 0.3073 0.0081 0.3045 0.0043 0.0402 0.0559 0.0103 0.0159 0.0199 0.1120 0.0350 0.0250 
1.8401 0.0229 0.0128 0.2973 0.3297 0.0267 0.0296 0.1142 0.0075 0.0665 0.0534 0.0702 0.0350 0.0250 
0.6329 0.2647 0.1756 0.0769 0.1752 -0.0145 0.0078 0.0704 0.0259 0.0484 0.0412 0.0359 0.0350 0.0250 
3.0691 1.4495 0.3244 0.0987 0.1449 -0.1165 -0.0141 0.3672 0.0433 0.0321 0.0603 0.3481 0.0350 0.0250 
1.4056 0.0134 0.2546 0.0489 0.0814 -0.0156 0.0415 0.1207 0.0328 0.0348 0.0507 0.0132 0.0350 0.0250 
1.6928 0.2118 0.1198 0.1585 0.2391 0.0534 0.0012 0.1112 0.0404 0.0308 0.0069 0.2083 0.0350 0.0250 
0.5708 0.3867 -0.0028 0.1808 0.3928 -0.0175 0.0487 0.0513 0.0239 0.0168 0.0252 0.1225 0.0350 0.0250 
2.0597 0.2815 -0.0372 0.0849 0.2729 -0.0584 0.0129 0.0480 0.0573 0.0001 0.0146 0.1571 0.0350 0.0250 
0.5250 0.2300 0.1606 0.2793 0.1416 0.0106 0.0420 0.0989 0.0203 0.0257 0.0316 0.0089 0.0350 0.0250 
0.8377 0.3781 0.0796 -0.0013 0.2900 0.0256 -0.0048 0.1384 0.0367 0.0219 0.0559 0.0882 0.0350 0.0250 
1.8606 -0.0107 0.0423 0.3218 0.2620 0.0163 0.0237 0.1356 0.0274 0.0539 0.0318 0.0682 0.0350 0.0250 
3.2235 1.7088 0.3342 0.1703 0.0821 -0.0175 -0.0412 0.4982 0.0524 0.0640 0.0708 0.1710 0.0350 0.0250 
1.5681 0.2996 0.2487 0.2498 0.2618 0.0329 0.0459 0.0332 0.0394 0.0689 0.0328 0.0535 0.0350 0.0250 
1.9630 0.0737 0.1304 0.2048 0.3681 -0.0313 0.0175 0.0806 0.0444 0.0554 0.0470 0.2200 0.0350 0.0250 
0.7315 0.4517 0.1290 0.1119 0.2367 0.0480 0.0029 0.1082 0.0466 0.0349 0.0610 0.1128 0.0350 0.0250 
2.5864 0.6483 0.0925 -0.0572 0.3073 -0.0249 0.0457 0.2014 0.0445 0.0261 0.0550 0.2169 0.0350 0.0250 
1.5137 0.0044 0.0957 0.1153 0.2755 -0.0025 0.0313 0.0763 0.0319 0.0191 0.0046 0.0404 0.0350 0.0250 
1.7238 0.0706 0.1506 0.3903 0.1665 0.0289 0.0289 0.0825 0.0464 0.0665 0.0586 0.0589 0.0350 0.0250 
3.7732 2.0230 1.2720 0.0683 0.0951 -0.0076 -0.0376 0.3775 0.0779 0.0564 0.0940 0.2681 0.0350 0.0250 
3.3037 2.1299 0.4263 -0.0194 0.2568 -0.0207 -0.0631 0.4470 0.1011 0.0467 0.0346 0.1545 0.0350 0.0250 
2.2541 0.4895 -0.0271 0.1590 0.3397 -0.0069 0.0130 0.1187 0.0427 0.0618 0.0577 0.1695 0.0350 0.0250 
1.4901 0.0582 0.1043 0.1452 0.0724 -0.0169 0.0290 0.1367 0.0175 0.0258 0.0212 0.0183 0.0350 0.0250 
1.4056 0.2269 0.2389 0.1621 0.0858 -0.0209 0.0379 0.0205 0.0154 0.0058 0.0097 0.0548 0.0350 0.0250 
2.2753 0.4493 0.1095 0.0112 0.4587 0.0184 -0.0015 0.2437 0.0355 0.0637 0.0328 0.3058 0.0350 0.0250 
2.8968 0.9875 0.2067 0.0226 0.3797 -0.0603 -0.0120 0.2405 0.0577 0.0349 0.0660 0.2327 0.0350 0.0250 
2.0854 0.0751 -0.0707 0.0006 0.4816 -0.0604 0.0183 0.0379 0.0247 0.0205 0.0357 0.1145 0.0350 0.0250 
0.7498 0.1647 0.0774 0.1220 0.4315 0.0332 -0.0050 0.1060 0.0314 0.0167 0.0173 0.1611 0.0350 0.0250 
1.9831 0.1627 0.0630 0.1769 0.2947 -0.0497 0.0170 0.0846 0.0341 0.0222 0.0518 0.0880 0.0350 0.0250 
2.9080 1.1809 0.2217 0.0952 0.4427 -0.0577 0.0002 0.2813 0.0576 0.0663 0.0647 0.1986 0.0350 0.0250 
1.3770 -0.0198 0.2545 0.1284 0.0764 -0.0090 0.0433 0.0847 0.0389 0.0293 0.0434 0.1154 0.0350 0.0250 
3.1842 2.3824 0.2300 -0.0543 0.1182 -0.0277 -0.0452 0.2678 0.0527 0.0616 0.0720 0.2629 0.0350 0.0250 
2.7457 0.8399 0.1728 -0.0425 0.3196 -0.0689 -0.0015 0.1946 0.0455 0.0559 0.0842 0.2950 0.0350 0.0250 
3.4871 2.0998 0.6601 0.1379 0.2019 -0.0045 0.0171 0.4239 0.0565 0.0255 0.0646 0.1465 0.0350 0.0250 
3.6247 1.6556 0.9984 0.1570 0.2850 -0.0047 0.0082 0.5280 0.1233 0.0232 0.0638 0.1893 0.0350 0.0250 
1.5674 0.2046 0.1926 0.2351 0.1897 0.0140 0.0488 0.0642 0.0105 0.0263 0.0225 0.2012 0.0350 0.0250 
3.8990 2.2588 1.1458 0.1345 0.2143 -0.0108 -0.0133 0.6647 0.0092 0.0262 0.0959 0.1115 0.0350 0.0250 
3.9705 2.5998 1.3138 0.1055 0.0459 -0.0118 -0.0404 0.7411 0.1250 0.0436 0.0217 0.0741 0.0350 0.0250 
1.2731 0.0067 0.4122 -0.0077 0.1152 0.0175 0.0381 0.0286 0.0261 0.0343 0.0160 0.1245 0.0350 0.0250 
2.2430 0.2906 -0.0070 0.0833 0.2525 -0.0383 -0.0033 0.0047 0.0364 0.0296 0.0915 0.2528 0.0350 0.0250 
3.5400 1.8192 0.8539 0.2126 0.1221 -0.0226 0.0031 0.7323 0.0511 0.0666 0.0366 0.1263 0.0350 0.0250 
2.6561 0.9562 0.1625 0.0497 0.3921 -0.0452 0.0221 0.2196 0.0533 0.0286 0.0578 0.0674 0.0350 0.0250 
1.1174 -0.0612 0.2467 0.0641 0.1294 0.0425 0.0295 0.1033 0.0356 0.0344 0.0379 0.0924 0.0350 0.0250 
1.4131 -0.0183 0.2463 0.0780 0.2064 -0.0323 0.0471 0.0561 0.0132 0.0214 0.0370 0.0975 0.0350 0.0250 
1.0260 0.0824 0.3761 0.0130 0.3253 -0.0004 0.0065 0.0628 0.0472 0.0215 0.0414 0.1362 0.0350 0.0250 
1.1980 0.0986 0.3959 -0.0013 0.2900 0.0475 0.0267 0.0529 0.0746 0.0671 0.0486 0.0486 0.0350 0.0250 
0.9889 0.1785 0.2943 -0.0279 0.2464 -0.0027 0.0159 0.1321 0.0039 0.0398 0.0091 0.1983 0.0350 0.0250 
1.9286 -0.0310 0.0887 0.2125 0.3453 0.0044 0.0331 0.0555 0.0406 0.0138 0.0499 0.1558 0.0350 0.0250 
0.9170 0.2141 0.2271 -0.0824 0.2583 0.0176 -0.0040 0.0471 0.0247 0.0152 0.0308 0.0962 0.0350 0.0250 
2.7225 0.7621 0.1993 0.0244 0.1271 -0.0368 0.0369 0.1402 0.0515 0.0401 0.0492 0.1515 0.0350 0.0250 
